text,label
2026-02-16 PRE-AUTHORIZED PAYMENT INTERAC E-TRF SENT $114.27,0
2026-02-23 PRE-AUTHORIZED PAYMENT PRESTO FARE TORONTO $41.12,0
"02/26 02/26 BELL CANADA OB 135.14 7,565.62",0
"Sep 13 Sep 13 MICROSOFT*M365 19.99 1,712.35",1
09/20 PATREON* MEMBERSHIP 7.99,1
01/11 BELL MOBILITY PREAUTH $106.87,0
11/28 POS PURCHASE WALMART.CA $232.87,0
THE BEER STORE 2104 2026-11-03 -41.05,0
2026-02-17 CONTACTLESS PURCHASE BELL CANADA OB 168.91,0
"02/09 NYTIMES DIGITAL 7.99 6,830.07",1
2026-06-01 POS PURCHASE TWITCH SUBSCRIPTION $7.99,1
"dec 03 nordvpn.com 7.99 1,074.52",1
2026-10-02 LYFT *RIDE THU 9AM 85.26 549.94,0
"07/21 CASH WITHDRAWAL ATM $137.05 $6,156.93",0
01/27 APPLE ICLOUD 50GB $7.99,1
Apr 12 ANTHROPIC PBC 7.99,1
Sep 24 PRE-AUTHORIZED PAYMENT MICROSOFT*M365 $7.99,1
2026-07-04 PRE-AUTHORIZED PAYMENT PAYPAL *EBAY SELLER $40.80,0
09/08 09/08 PLANET FITNESS CLUB FEES 17.99,1
12/21 CONTACTLESS PURCHASE PLANET FITNESS CLUB FEES 10.99,1
ATM WITHDRAWAL 004412 Dec 28 -207.96,0
Sep 23 SHELL C02931 73.60,0
2026-03-21 MICROSOFT 365 PERSONAL $11.99,1
"mar 09 anthropic claude.ai 12.99 4,041.80",1
2026-01-04 2026-01-04 EBAY COMMERCE CDA 250.74,0
"2026-11-09 MICROSOFT*XBOX GAME PASS $17.99 $4,101.83",1
ESSO CIRCLE K 71234 04/04 -116.83,0
2026-11-22 POS PURCHASE PRESTO AUTOLOAD $39.71,0
Feb 09 PRE-AUTHORIZED PAYMENT PLAYSTATIONNETWORK SUB $11.99,1
2026-09-28 audible.ca membership $4.99,1
04/13 PRE-AUTHORIZED PAYMENT APPLE ONLINE STORE ORDER $210.11,0
"06/18 06/18 CINEPLEX #7712 230.49 1,318.75",0
HELLOFRESH CANADA Mar 07 -4.99,1
jul 25 pos purchase doordash*burger king $210.13,0
"Feb 25 TIM HORTONS #0187 TORONTO 100.10 5,376.89",0
2026-05-05 pos purchase patreon.com/bill $15.49,1
"12/22 NORDSEC LTD $5.99 $6,231.61",1
2026-02-09 COSTCO WHOLESALE W550 16.64,0
"2026-10-11 ACCOUNT MAINTENANCE FEE $137.53 $1,143.51",0
Sep 06 CONTACTLESS PURCHASE HELLO FRESH TORONTO 14.99,1
2026-04-09 POS PURCHASE PRIME MEMBER AMZN.CA/BILL $12.99,1
08/26 POS PURCHASE BELL CANADA BILL PAYMENT $258.88,0
2026-06-26 BELL CANADA OB 153.59,0
2026-07-05 PRE-AUTHORIZED PAYMENT DOLLARAMA S-1182 $217.28,0
2026-09-25 2026-09-25 SONY CRUNCHYROLL 11.99,1
"May 19 AMZN MKTP CA WWW.AMAZON.CA 117.92 5,370.13",0
08/27 POS PURCHASE COSTCO.CA ONLINE $51.94,0
"2026-07-05 EBAY COMMERCE CDA $85.77 $4,792.93",0
AMZN MKTP CA WWW.AMAZON.CA Oct 21 -186.54,0
"2026-12-07 OVERDRAFT PROTECTION FEE 204.99 5,915.79",0
2026-01-09 PETRO-CANADA 06715 18.62,0
2026-08-17 EXPRESS TECH LTD 10.99,1
2026-01-21 DOORDASH*BURGER KING 38.66,0
"02/20 02/20 HELLO FRESH TORONTO 22.99 6,185.30",1
"apr 09 apr 09 nordsec ltd 11.99 3,704.96",1
"2026-02-05 2026-02-05 SONY CRUNCHYROLL 4.99 8,479.51",1
2026-10-20 PRESTO AUTOLOAD $231.46,0
Nov 10 EXPRESSVPN SUBSCR 5.99,1
03/25 PRE-AUTHORIZED PAYMENT ADOBE INC SAN JOSE $24.99,1
12/01 PRE-AUTHORIZED PAYMENT ANTHROPIC PBC $9.99,1
2026-08-04 APPLE.COM/BILL ON $9.99,1
Oct 07 CONTACTLESS PURCHASE SPOTIFY STOCKHOLM SE 9.99,1
"08/20 08/20 SPOTIFY P2B4F8 14.99 4,125.97",1
Aug 04 Aug 04 UBER *EATS PENDING 183.04,0
2026-12-28 PLAYSTATION NETWORK 10.99,1
"2026-07-06 2026-07-06 CASH WITHDRAWAL ATM 245.79 1,588.12",0
04/10 04/10 GOOGLE*HELP.PAY# ONE-TIME 201.32,0
2026-03-26 PRE-AUTHORIZED PAYMENT CRUNCHYROLL MEMBERSHIP $16.49,1
AMAZON.CA*ORDER Jul 16 -59.69,0
09/11 POS PURCHASE NOFRILLS FERRI'S $14.81,0
"09/05 ROGERS COMMUNICATIONS 129.34 7,877.84",0
"may 03 chatgpt subscription openai.com 19.99 5,997.35",1
Oct 22 POS PURCHASE NORDVPN.COM $22.99,1
2026-03-21 2026-03-21 NEW YORK TIMES DIGITAL 19.99,1
"Sep 21 AUDIBLE ADBL.CO/PYMT 7.99 1,943.08",1
WINE RACK #123 02/15 -238.37,0
"03/20 03/20 AUDIBLE ADBL.CO/PYMT 24.99 1,637.93",1
2026-12-28 pos purchase disneyplus.com $9.99,1
"02/18 ACCOUNT MAINTENANCE FEE $228.62 $5,477.79",0
"2026-01-19 PAYROLL DEPOSIT ACME LTD 88.65 2,973.42",0
2026-05-02 CONTACTLESS PURCHASE MCDONALD'S #40265 148.21,0
AMZN MKTP CA*2B4FZ8 07/22 -6.34,0
Nov 07 DISNEY+ BURBANK CA $5.99,1
"2026-04-27 2026-04-27 WALMART.CA 255.53 2,379.43",0
07/23 PRE-AUTHORIZED PAYMENT WALMART.CA $72.63,0
Dec 19 Dec 19 BELL CANADA OB 238.06,0
SPOTIFY STOCKHOLM SE 08/18 -24.99,1
Nov 23 PRE-AUTHORIZED PAYMENT NETFLIX INTERNATIONAL B.V. $12.99,1
"05/12 twitch subscription 17.99 4,683.24",1
"2026-05-16 2026-05-16 audible*uk8fn2 19.99 1,024.05",1
spotify p2b4f8 2026-09-16 -15.49,1
2026-02-06 PRE-AUTHORIZED PAYMENT UBER *EATS PENDING $121.66,0
May 17 CRAVE ENTERTAINMENT $17.99,1
"03/26 TD INSURANCE PREAUTH 209.36 7,968.46",0
"06/13 06/13 AUDIBLE*UK8FN2 10.99 8,028.37",1
"11/01 11/01 CRAVE ENTERTAINMENT 9.99 3,383.58",1
"12/05 12/05 ADOBE *PHOTOGPHY PLAN 14.99 2,383.93",1
2026-08-16 contactless purchase green p parking 154.76,0
"09/16 09/16 STARBUCKS 800-782-7282 212.81 4,694.16",0
Apr 17 EXPRESS TECH LTD $16.49,1
2026-12-09 POS PURCHASE BELL MOBILITY PREAUTH $142.85,0
May 21 PLAYSTATION NETWORK 7.99,1
10/19 10/19 XBOX GAME PASS 14.99,1
Aug 23 POS PURCHASE PLAYSTATION NETWORK $19.99,1
06/17 PRE-AUTHORIZED PAYMENT TWITCH.TV/SUBS $5.99,1
03/26 APPLE STORE R121 58.19,0
2026-04-07 UBEREATS.COM/BILL $57.37,0
GOOGLE*HELP.PAY# ONE-TIME Apr 25 -61.73,0
"Jan 16 Jan 16 PLAYSTATION NETWORK 16.49 4,400.60",1
2026-12-26 PRE-AUTHORIZED PAYMENT MICROSOFT*M365 $22.99,1
"2026-03-28 ADOBE *CREATIVE CLD $54.99 $4,238.79",1
2026-08-19 PRE-AUTHORIZED PAYMENT BESTBUY.CA #937 $205.23,0
Nov 19 PRE-AUTHORIZED PAYMENT ICLOUD+ STORAGE $9.99,1
GOODLIFE CLUBS MSP 2026-08-15 -7.99,1
HYDRO ONE PREAUTH 10/12 -3.01,0
Oct 22 Oct 22 NORDVPN.COM 9.99,1
2026-12-20 2026-12-20 ABM WITHDRAWAL BR 2214 141.68,0
AMZN MKTP CA WWW.AMAZON.CA 08/21 -99.21,0
Aug 28 Aug 28 ADOBE INC SAN JOSE 22.99,1
Oct 28 PRE-AUTHORIZED PAYMENT SHOPPERS DRUG MART #0984 $51.72,0
"Dec 10 Dec 10 STARBUCKS COFFEE T886 15.49 5,908.97",0
"Dec 13 Dec 13 SWISS CHALET 1214 11.23 5,107.16",0
2026-05-24 POS PURCHASE AMZN MKTP CA*2B4FZ8 $243.32,0
Nov 21 CONTACTLESS PURCHASE AUDIBLE ADBL.CO/PYMT 4.99,1
05/08 contactless purchase twitchinteractive.com 7.99,1
Jun 14 Jun 14 GOOGLE PLAY STORE PURCH 98.04,0
Jun 07 ADOBE *PHOTOGPHY PLAN $54.99,1
08/26 TWITCH SUBSCRIPTION $9.99,1
"Feb 24 STARBUCKS #04521 $223.06 $2,680.07",0
"2026-05-12 overdraft interest $12.58 $2,104.68",0
06/28 POS PURCHASE LOBLAWS #1029 $183.81,0
"01/23 PAYPAL *EBAY SELLER 245.32 3,504.44",0
Jun 10 PRE-AUTHORIZED PAYMENT SPOTIFY P2B4F8 $4.99,1
expressvpn subscr 2026-03-18 -54.99,1
2026-10-16 POS PURCHASE UBER BV TRIP 4X2 $86.08,0
01/08 TIM HORTONS #0187 TORONTO 183.65,0
08/15 GOOGLE *PLAY APP $198.39,0
2026-06-07 PRE-AUTHORIZED PAYMENT NORDVPN.COM $12.99,1
Feb 21 POS PURCHASE NORDVPN *SUBSCRIPTION $19.99,1
2026-10-24 2026-10-24 GOOGLE*ONE 100GB 22.99,1
PAY EMPLOYER DEPOSIT 2026-07-26 -241.71,0
2026-06-09 POS PURCHASE GOOGLE *PLAY APP $139.07,0
"2026-10-15 e-transfer received 136.39 3,729.66",0
Dec 26 Dec 26 DOORDASH*PIZZA PIZZA 24.25,0
2026-10-02 contactless purchase bestbuy online order 6.77,0
2026-04-20 CONTACTLESS PURCHASE PLANET FITNESS CLUB FEES 12.99,1
03/01 SDM #1121 TORONTO 123.88,0
Apr 03 CONTACTLESS PURCHASE GOOGLE *GOOGLE ONE 14.99,1
"2026-12-19 FIDO MOBILE PAYMENT 240.39 8,320.90",0
2026-09-24 PRE-AUTHORIZED PAYMENT WAL-MART #1061 $71.28,0
2026-01-01 CHATGPT SUBSCRIPTION OPENAI.COM 29.99,1
"Apr 23 BELL MOBILITY PREAUTH $43.70 $1,016.25",0
jan 17 jan 17 dropbox.com 10.99,1
SUBWAY REST 12244 03/27 -48.42,0
2026-04-18 CONTACTLESS PURCHASE CINEPLEX ODEON QUEENSWAY 230.61,0
mar 11 pre-authorized payment uber eats $89.76,0
Apr 19 DD DOORDASH SUSHI 100.52,0
"2026-12-23 2026-12-23 AMZN MKTP CA*2B4FZ8 159.54 7,451.43",0
2026-08-20 openai san francisco 9.99 542.51,1
disney+ burbank ca 2026-01-05 -11.99,1
"2026-08-12 OPENAI SAN FRANCISCO $14.99 $8,748.13",1
2026-11-14 POS PURCHASE APPLE.COM/BILL ON $16.49,1
"Jul 02 Jul 02 THE KEG STEAKHOUSE 249.23 1,688.21",0
2026-08-06 2026-08-06 TORONTO HYDRO BILL 73.48,0
10/18 EBAY O*12-34567 $153.36,0
Feb 08 Feb 08 ATM WITHDRAWAL 004412 1.62,0
Dec 06 OVERDRAFT INTEREST 256.07,0
Aug 14 SHOPPERS DRUG MART #0984 $107.80,0
"04/24 ADOBE INC SAN JOSE $5.99 $3,650.27",1
"Sep 18 NSF FEE 219.86 3,649.63",0
Aug 15 APPLE.COM/BILL $54.99,1
"2026-02-02 presto fare toronto 41.62 7,882.52",0
2026-11-03 2026-11-03 UBER TRIP 117.79,0
Sep 10 CONTACTLESS PURCHASE DISNEY+ BURBANK CA 11.99,1
2026-05-22 CRUNCHYROLL*SUB 16.49,1
2026-04-16 2026-04-16 CHATGPT SUBSCRIPTION OPENAI.COM 9.99,1
2026-02-22 2026-02-22 DISNEY+ BURBANK CA 5.99,1
ATM WITHDRAWAL 004412 01/27 -49.75,0
2026-04-01 pre-authorized payment e-transfer received $164.45,0
"05/03 05/03 WAWANESA INSURANCE 252.84 4,907.71",0
Feb 22 PRE-AUTHORIZED PAYMENT ANTHROPIC PBC $9.99,1
"09/13 09/13 CRUNCHYROLL MEMBERSHIP 7.99 4,439.66",1
04/01 CONTACTLESS PURCHASE THE BEER STORE 2104 41.13,0
UBER *EATS PENDING 09/28 -226.51,0
2026-10-17 2026-10-17 BOSTON PIZZA #318 89.16,0
2026-06-22 ANTHROPIC CLAUDE.AI 22.99,1
"2026-06-07 PAYPAL *EBAY SELLER $24.75 $1,397.90",0
"Dec 06 TWITCH SUBSCRIPTION $15.49 $7,635.43",1
01/23 SUBWAY FRANCHISE 111.29,0
"04/19 COSTCO GAS W1275 $204.76 $8,335.17",0
09/04 CONTACTLESS PURCHASE DOORDASH*PIZZA PIZZA 170.89,0
"08/27 08/27 ubereats.com/bill 188.21 5,726.92",0
07/27 PRIME MEMBER AMZN.CA/BILL $11.99,1
"2026-05-09 2026-05-09 DISNEY PLUS 22.99 7,671.52",1
01/07 POS PURCHASE OVERDRAFT PROTECTION FEE $239.98,0
"Nov 18 MICROSOFT*M365 22.99 3,485.42",1
GOOGLE *GOOGLE ONE 2026-01-22 -10.99,1
2026-04-10 2026-04-10 GOOGLE *PLAY APP 198.70,0
"08/22 HELLOFRESH*WK26 17.99 2,490.26",1
Apr 11 POS PURCHASE DROPBOX INTL $17.99,1
"2026-05-23 2026-05-23 AMZN MKTP CA WWW.AMAZON.CA 109.32 1,132.79",0
Feb 01 CONTACTLESS PURCHASE EXPRESSVPN.COM 29.99,1
05/16 05/16 pay employer deposit 112.52,0
"2026-08-11 UBER *TRIP HELP.UBER.COM $79.11 $8,991.92",0
APPLE.COM/BILL 866-712-7753 2026-05-06 -29.99,1
07/11 POS PURCHASE WALMART STORE #3115 $173.67,0
2026-08-07 pre-authorized payment audible adbl.co/pymt $54.99,1
Mar 21 PRE-AUTHORIZED PAYMENT EXPRESS TECH LTD $4.99,1
2026-10-23 CONTACTLESS PURCHASE CRAVETV BELL MEDIA 5.99,1
"2026-05-15 2026-05-15 twitchinteractive.com 7.99 3,196.60",1
2026-04-21 OVERDRAFT PROTECTION FEE $93.88,0
Aug 21 BOSTON PIZZA #318 $49.42,0
2026-07-20 POS PURCHASE GOODLIFE CLUBS MSP $22.99,1
02/19 IMPARK00120199U 72.99,0
"01/02 01/02 BELL CANADA OB 99.47 5,367.35",0
"Jun 11 BESTBUY.CA #937 184.36 8,067.23",0
2026-03-04 POS PURCHASE TORONTO HYDRO BILL $96.23,0
BELL MOBILITY PREAUTH Aug 24 -131.96,0
"2026-10-05 DISNEY PLUS 17.99 3,421.64",1
09/21 BELL CANADA OB $149.68,0
UBER *TRIP HELP.UBER.COM Dec 12 -45.59,0
11/09 UBER *EATS PENDING 137.16,0
"05/22 AUDIBLE*UK8FN2 $7.99 $2,293.65",1
Jan 02 Jan 02 CHATGPT SUBSCRIPTION OPENAI.COM 12.99,1
06/27 06/27 hello fresh toronto 16.49,1
08/08 POS PURCHASE COSTCO.CA ONLINE $72.29,0
"Dec 06 Dec 06 SPOTIFY P2B4F8 22.99 8,279.90",1
2026-08-23 2026-08-23 NEW YORK TIMES DIGITAL 9.99,1
2026-07-25 PRE-AUTHORIZED PAYMENT SHELL C02931 $224.11,0
2026-01-13 POS PURCHASE STARBUCKS #04521 $136.52,0
Feb 17 Feb 17 STARBUCKS 800-782-7282 10.55,0
08/27 CONTACTLESS PURCHASE DOLLARAMA S-1182 190.45,0
nsf fee 07/10 -95.65,0
"Nov 13 Nov 13 AMZN MKTP CA*2B4FZ8 181.86 3,656.30",0
"2026-12-05 dollarama #423 159.94 6,638.96",0
2026-12-07 POS PURCHASE NYT*NYTIMES SUBSCRIPTION $29.99,1
"2026-04-20 EBAY COMMERCE CDA 115.38 2,625.87",0
02/05 02/05 GREEN P PARKING 224.33,0
May 28 SONY CRUNCHYROLL 24.99,1
"nov 22 uber *trip help.uber.com 138.65 2,568.97",0
Apr 12 Apr 12 ATM WITHDRAWAL 004412 242.06,0
THE KEG STEAKHOUSE Feb 17 -110.90,0
05/16 PATREON.COM/BILL 4.99,1
Oct 21 UBER EATS $249.15,0
"01/17 MONTHLY ACCOUNT FEE $212.62 $4,874.28",0
Nov 13 POS PURCHASE DOLLARAMA MTL $170.51,0
Feb 27 PRE-AUTHORIZED PAYMENT PROPERTY MGMT RENT $80.69,0
"Mar 02 Mar 02 COSTCO.CA ONLINE 55.41 6,207.44",0
Jun 28 CONTACTLESS PURCHASE EBAY COMMERCE CDA 246.71,0
2026-08-07 PRE-AUTHORIZED PAYMENT CRAVETV BELL MEDIA $7.99,1
Jun 09 PRE-AUTHORIZED PAYMENT ADOBE *PHOTOGPHY PLAN $15.49,1
09/25 09/25 CINEPLEX #7712 59.15 440.30,0
"08/02 08/02 WAL-MART #1061 77.69 2,583.00",0
nordvpn *subscription oct 13 -22.99,1
Mar 09 GREEN P PARKING 212.36,0
2026-07-07 GO TRANSIT UNION STN 108.93,0
"2026-09-22 enbridge gas payment 92.44 3,659.37",0
"Jun 01 Jun 01 PLAYSTATIONNETWORK SUB 17.99 8,106.87",1
02/09 PRE-AUTHORIZED PAYMENT E-TRANSFER RECEIVED $254.95,0
SUBWAY FRANCHISE May 16 -182.08,0
Aug 24 CONTACTLESS PURCHASE DROPBOX INTL 9.99,1
"Apr 14 GOOGLE *GOOGLE ONE 7.99 7,088.00",1
Aug 09 PRE-AUTHORIZED PAYMENT PAY EMPLOYER DEPOSIT $239.18,0
"2026-04-25 XBOX GAME PASS 9.99 5,881.38",1
"2026-06-03 2026-06-03 UBER BV TRIP 4X2 39.85 4,443.92",0
Aug 02 Aug 02 COSTCO WHOLESALE W550 115.22,0
2026-06-05 POS PURCHASE TWITCHINTERACTIVE.COM $4.99,1
AMZN MKTP CA*2B4FZ8 04/23 -140.87,0
2026-10-02 POS PURCHASE ABM WITHDRAWAL BR 2214 $119.56,0
2026-05-02 POS PURCHASE SUBWAY 42117-0 $139.43,0
2026-03-04 2026-03-04 RENT PAYMENT PREAUTH 70.40,0
"2026-10-18 precise parklink tor $209.70 $5,680.51",0
"10/13 SUBWAY 42117-0 72.83 7,990.38",0
Jul 24 CONTACTLESS PURCHASE CRAVE ENTERTAINMENT 12.99,1
May 02 May 02 APPLE ICLOUD 50GB 10.99,1
Mar 16 PRE-AUTHORIZED PAYMENT UBEREATS.COM/BILL $120.06,0
mcdonalds q04 mississauga 09/17 -52.57,0
12/22 12/22 INTACT INSURANCE PYMT 207.08,0
Mar 12 Mar 12 SWISS CHALET 1214 187.37,0
10/14 HYDRO ONE PREAUTH 9.42,0
Mar 18 Mar 18 FIDO MOBILE PAYMENT 155.50,0
12/16 BOSTON PIZZA #318 165.76,0
2026-02-22 BESTBUY ONLINE ORDER $204.18 $635.90,0
Aug 01 CONTACTLESS PURCHASE AMZN PRIME MEMBER 14.99,1
Feb 10 Feb 10 OVERDRAFT INTEREST 48.59,0
01/12 POS PURCHASE OPENAI SAN FRANCISCO $29.99,1
"08/06 MORTGAGE PAYMENT TD $180.93 $1,826.21",0
2026-01-22 starbucks #04521 $195.84,0
09/09 PRE-AUTHORIZED PAYMENT APPLE STORE YORKDALE $90.00,0
09/05 CONTACTLESS PURCHASE SONY PSN MEMBERSHIP 5.99,1
07/09 PRESTO AUTOLOAD $151.32,0
Feb 14 CONTACTLESS PURCHASE WAL-MART #1061 217.13,0
2026-09-23 GO TRANSIT UNION STN 76.15,0
08/10 08/10 SHELL C02931 128.45 406.36,0
INTACT INSURANCE PYMT 09/05 -171.43,0
EXPRESSVPN.COM 2026-01-23 -9.99,1
APPLE ICLOUD 50GB 2026-01-02 -14.99,1
2026-07-01 pos purchase xbox game pass $11.99,1
2026-02-13 PRE-AUTHORIZED PAYMENT TIMHORTONS 4415 $230.27,0
"12/04 SHELL C02931 116.45 1,521.68",0
